filename,status,bytes,sha256,mod_ids,display_names,declared_versions,metadata_note
a2w-1.0.0.jar,active_jar,17963,27a783d9476bd08b2597f1a80b383a81a7a4516ab91631959872950d5bd9d289,a2w,Map Atlases + Waystones Compatibility,1.0.0,
AchievementOptimizer-1.20.1-1.0.5.jar,active_jar,11897,d5fc55ae07a5aba075824f33800898484414d48ece22bed7a7b43178e59ab07c,achiopt,AchievementOptimizer,1.0.5,
addonslib-forge-1.20.1-1.11.jar,active_jar,132310,5e8679dbe21e6cb77b56b67422465204064bf80b3d33e7913239707c76c8699e,addonslib,AddonsLib,1.20.1-1.11,
alex-mobs-tweaks-omni-1.3.1.jar,active_jar,119343,d50763a4c07b306a3b4ff8a3a4ee9336f5493d86618b78c35cc4883ba5a2c299,amt,Alex Mobs: Tweaks,1.3.1,
alexscuisine-1.1.3.jar,active_jar,1170675,7aaef3bbc81af63d704c54dd3ac64ed7653cc0c6e9d34d0756bed0c019946501,alexscuisine,Alex's Cuisine,1.1.3,
alexsmobs-1.22.9.jar,active_jar,26350793,16bc5bcc19db9029c24f951346ec71098e6f5b0afef96e61894a2e9407aad37c,alexsmobs,Alex's Mobs,1.22.9,
alexsmobsinteraction-6.0-all.jar,active_jar,7305364,fbf361f9be3b60b07bd4cf497aff5bd6ee5e80d4499bfc6e1afbac72e8e11e9b,alexsmobsinteraction,Alex's Mobs Interaction,6.0,
alltheleaks-1.1.3+1.20.1-forge.jar,active_jar,1274165,4bb5a05d7f9caa9e689e43c4b4b65540b67afe53bb7c9e810465f63da4744685,alltheleaks,All The Leaks,1.1.3+1.20.1-forge,
Ancient-Obelisks-1.20.1-1.2.8.jar,active_jar,358518,02f469f918d806be63ce208c31306e3d9b3abe1a67967416f5b63b1a4b5f8a5c,ancient_obelisks,Ancient Obelisks,1.2.8,
Animation_Overhaul-forge-1.20.x-1.3.1.jar,active_jar,270915,63671e2de35d9b6bf4e09ea68574a6a37c9f35a54c97b6f65fbcf6f2da4cdde5,animation_overhaul,Animation Overhaul,1.3.1,
Apotheosis-1.20.1-7.4.8.jar,active_jar,2803994,5ed8c17cf62837bb649d1054e3e4fe93c4d9bdec98fe9f332e2637a260da30da,apotheosis,Apotheosis,7.4.8,
apothic_cataclysm-1.0.1.jar,active_jar,418889,d3878543488c31f3c1f9f3f9ad2272dffc976d8f3fd0ae430ce2caa4c287aa8b,apothic_cataclysm,Apothic Cataclysm,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
apothic_fishing-1.20.1-1.0.1.jar,active_jar,308429,214fb7eeea78b034e5d89684c787d371b9287927757968022f37fa9743a843b6,apothic_fishing,Apothic Fishing,1.0.1,
apothic_materials-1.0.0-forge-1.20.1.jar,active_jar,138051,e288079cfc21112a1ceb03f5f9e9491c0c702a6ec3f5582003981f7fb1d9d4b1,apothic_materials,Apothic Materials,1.0.0,
ApothicAttributes-1.20.1-1.3.7.jar,active_jar,227511,68487b11c0d4e2f67a85f2b04bf65e99ac15294f2923f4391f83e9542293187a,attributeslib,Apothic Attributes,1.3.7,
ApothicCurios-1.20.1-1.0.3e.jar,active_jar,13935,6e4118e2e6b95b29e6c5acaccaf9134bce745fe978e5439552daa8fbc23b7287,apothiccurios,Apothic Curios,1.0.3e,
appleskin-forge-mc1.20.1-2.5.1.jar,active_jar,47428,e12419e43e3babc810af289403c5cd96bd7f09809b389acc6bb2f122b4b2a426,appleskin,AppleSkin,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
